日期,名次,股票代碼,股票名稱,方向,綜合評分,現價,建議進場價,停損價,停利價,爆量倍數,波動率
2026-08-31,No.1,2382,廣達,🟢 多方當沖,151.0,338.5,336.81,326.52,352.24,1.5x,3.0%
2026-09-01,No.1,2382,廣達,🟢 多方當沖,131.3,342.0,340.29,330.58,354.86,1.2x,2.8%
2026-09-04,No.1,3231,緯創,🟢 多方當沖,143.4,197.5,196.51,188.87,207.97,1.1x,3.9%
2026-09-04,No.2,2382,廣達,🟢 多方當沖,119.8,346.0,344.27,335.27,357.77,1.2x,2.6%
2026-09-04,No.1,3231,緯創,🟢 多方當沖,148.8,198.0,197.01,189.37,208.47,1.3x,3.9%
2026-09-04,No.2,2382,廣達,🟢 多方當沖,124.9,345.0,343.28,334.28,356.78,1.4x,2.6%
2026-09-07,No.1,2454,聯發科,🟢 多方當沖,179.9,4780.0,4756.1,4555.03,5057.71,1.4x,4.2%
2026-09-07,No.1,2454,聯發科,🟢 多方當沖,182.0,4760.0,4736.2,4535.13,5037.8,1.5x,4.2%
2026-09-07,No.2,2317,鴻海,🟢 多方當沖,106.2,256.0,254.72,248.43,264.15,1.0x,2.5%
2026-09-09,No.1,2382,廣達,🟢 多方當沖,117.7,341.0,339.3,329.41,354.14,1.1x,2.9%
2026-09-09,No.1,2382,廣達,🟢 多方當沖,124.2,342.0,340.29,330.4,355.13,1.3x,2.9%
2026-09-17,No.1,2382,廣達,🟢 多方當沖,116.2,344.5,342.78,332.78,357.78,1.1x,2.9%
2026-09-17,No.1,2382,廣達,🟢 多方當沖,124.2,344.0,342.28,332.28,357.28,1.4x,2.9%
2026-09-18,No.1,2454,聯發科,🟢 多方當沖,177.8,4725.0,4701.38,4477.45,5037.28,1.1x,4.7%
2026-09-18,No.1,2454,聯發科,🟢 多方當沖,188.4,4710.0,4686.45,4461.81,5023.41,1.5x,4.8%
2026-09-18,No.2,2603,長榮,🟢 多方當沖,114.0,240.5,239.3,232.41,249.64,1.0x,2.9%
2026-09-21,No.1,2454,聯發科,🟢 多方當沖,173.0,4985.0,4960.08,4740.08,5290.08,1.3x,4.4%
